cell,experiment_id,training_status,in_run_cert_status,manuscript_cert_status,proposal_support_valid,certification_a3_valid,evaluation_unknown_metrics_defined,certification_a3_reason,is_recovery,logit_sha256
split02__seed3,fed-isic-DF-MEL-model3__d8dfead3c1c748a2,completed,failed_permission,pending_posthoc,True,True,True,,False,0b7965935c2e7c187960eb85ad3dd0cef056d869f0abf146adb6ff963e43a8af
split02__seed4,fed-isic-DF-MEL-model4__f0264aee0e113483,completed,failed_permission,pending_posthoc,True,True,True,,False,50c8c1441124ca0c5a9a1410a981616df161300dfb223b6895912a1d55afae67
split03__seed0,fed-isic-MEL-VASC-model0__c2e2637113cbf82c,completed,failed_permission,pending_posthoc,True,True,True,,False,f47feef503f8ce0f26c8526fd8c23a8684111611f2e9b5c7ac0064c3de63eda8
split03__seed1,fed-isic-MEL-VASC-model1__566d250e6724c545,completed,failed_permission,pending_posthoc,True,True,True,,False,b2d40b2f7ed8ac4c724a329faa6669a7e308d1a740c5827681734d821e09523c
split03__seed2,fed-isic-MEL-VASC-model2__68d8ce52618ab206,completed,failed_permission,pending_posthoc,True,True,True,,False,1c20fbe55341ec2088fc108a4d8929714a8689b77759a548811fdc45682a30c1
split03__seed3,fed-isic-MEL-VASC-model3__68379bf0d09e1819,completed,failed_permission,pending_posthoc,True,True,True,,False,015260ab9591853f8b4cfd5a12ca1469029a882a864890d4f491de5774b132e7
split03__seed4,fed-isic-MEL-VASC-model4__5fad998b9a3c79e2,completed,failed_permission,pending_posthoc,True,True,True,,False,fd7176fa0e44e67650152a958f4fe45d82cb177fb4d2d8bb3d35a858dd063dc3
split04__seed0,fed-isic-NV-VASC-model0__51b945e7a7bcf517,completed,failed_permission,pending_posthoc,False,False,True,infeasible_a3_missing_unknown_support,True,f6f7e5386a6f9ac58e24d5d2443a05223b0dac5054cdb65edee6d3b3a6f7fd14
split04__seed1,fed-isic-NV-VASC-model1__ecea00d9bae7c572,completed,failed_permission,pending_posthoc,True,True,False,,True,b9b627442a9497d310d00ec93bff89df49123aad67e6e458e5879e2391a13b6a
split04__seed2,fed-isic-NV-VASC-model2__27013ee4544dc06b,completed,failed_permission,pending_posthoc,True,False,False,infeasible_a3_missing_unknown_support,True,1486506955ce243167069f42b4198407ebbba240e2cd99ff8ed8e90bc5b4044f
split04__seed3,fed-isic-NV-VASC-model3__2c79d328aa9627a1,completed,failed_permission,pending_posthoc,False,False,True,infeasible_a3_missing_unknown_support,True,9ae93c0264040431ea671402532573e6505a6492daf5672668f45bfe9d23d164
split04__seed4,fed-isic-NV-VASC-model4__03c5eafcb920166b,completed,failed_permission,pending_posthoc,True,True,True,,False,9564f2abcad51c4aabd6450fa8dd0f4d8d99fde44f08a940d950026e6f3973ac
split05__seed0,fed-isic-AK-BCC-model0__0d19cad7a87ca067,completed,failed_permission,pending_posthoc,True,True,True,,False,6f3659bcef89c2b9052468245b5a0c063619d1b0c55fcc2b6ca470c462bcbf35
split05__seed1,fed-isic-AK-BCC-model1__b6117802dbd594e5,completed,failed_permission,pending_posthoc,True,True,True,,False,4869b2874129d40a5cbafe5abfe7fd775861fa8cc12c1c35c0aebcb1a673cf66
split05__seed2,fed-isic-AK-BCC-model2__153cffe1995a8eef,completed,failed_permission,pending_posthoc,True,True,True,,False,49f211850712f151b9aef3a67ed26c263a9b298af163e75ef86a35e16c996896
split05__seed3,fed-isic-AK-BCC-model3__1de37f366bbd8149,completed,failed_permission,pending_posthoc,True,True,True,,False,bcfbdb99180b1d378127f22faa025dc8040bd234e04fdc21aaba83230a545fe8
split05__seed4,fed-isic-AK-BCC-model4__800ad738e42ab76e,completed,failed_permission,pending_posthoc,True,True,True,,False,4ef1d763cb11ff3da157db6e0f7d8b58b6df90bf03391944689946d52c1beb3c
split06__seed0,fed-isic-BCC-BKL-model0__316d422993f4c2c5,completed,failed_permission,pending_posthoc,True,True,True,,False,632e4e1276f01a429cd15d8ec80f9d33819cd2a22049a2c43a9a4947d9ac152b
split06__seed1,fed-isic-BCC-BKL-model1__6d6ee15604df240c,completed,failed_permission,pending_posthoc,True,True,True,,False,48bb652f7b388352372e8b063db29debc437074c140ccc41a3308d6b6decc296
split06__seed2,fed-isic-BCC-BKL-model2__bab128fee5d13a60,completed,failed_permission,pending_posthoc,True,True,True,,False,f7ac4194d3600a6f219686758585930ffaad76846ed4a98fa93856bd7938114c
split06__seed3,fed-isic-BCC-BKL-model3__1f64aa8e7e1b0e23,completed,failed_permission,pending_posthoc,True,True,True,,False,a18aa6da402cc7bf47ff6891c7ce3eb56cc0b4da50641fbc8d4ea9f8a8a8d43d
split06__seed4,fed-isic-BCC-BKL-model4__3ee110b7e164af56,completed,failed_permission,pending_posthoc,True,True,True,,False,d4539989bab909b2684aea5610d229602f71febafc0e7944356112428c3bedd3
split07__seed0,fed-isic-BCC-SCC-model0__fbdd81c1df40f105,completed,failed_permission,pending_posthoc,True,True,True,,False,b0c662afbde9828af805b2098fb52e20298041eeb33d0ba7ac09158a5589083b
split07__seed1,fed-isic-BCC-SCC-model1__8ecba51b1c9a2fda,completed,failed_permission,pending_posthoc,True,True,True,,False,e615c4e1ebf5e4ded98139172d3b92b4ed930fff2a589ca4e235e82491cb4b6c
split07__seed2,fed-isic-BCC-SCC-model2__09d849d556cb0487,completed,failed_permission,pending_posthoc,True,True,True,,False,2ac33f0223c28d5fabee75f3da7d30109575b49e59a632cb2b395d0a7fb7fbad
split07__seed3,fed-isic-BCC-SCC-model3__1993711ed8885a45,completed,failed_permission,pending_posthoc,True,True,True,,False,b959a9646f9d975ab51d27eaad11084c6eea1e1d81a15414eb56a34930644c70
split07__seed4,fed-isic-BCC-SCC-model4__0cade7299e67eb7c,completed,failed_permission,pending_posthoc,True,True,True,,False,607bbc927540f471478569401200dc78db8e6ea4980fa096aa8e8346124c88fa
split08__seed0,fed-isic-AK-VASC-model0__eb1f084717eb7338,completed,failed_permission,pending_posthoc,True,True,True,,False,813cbe947c23caf2ce82f3ab2ccaac55ab5d78f4bb8d14426b6ed1e7aea37c47
split08__seed1,fed-isic-AK-VASC-model1__58675d6c47ab2bc9,completed,failed_permission,pending_posthoc,True,True,True,,False,53b55cff712a3924e5d2f5e56edf73190b713e636a7403ccaa1f39e8f0d32394
split08__seed2,fed-isic-AK-VASC-model2__45f1d08f4141debb,completed,failed_permission,pending_posthoc,True,True,True,,False,a76427ee6c439a82e6c53e43ace6c4488c63a26bc39d4b88753954d524adefa5
split08__seed3,fed-isic-AK-VASC-model3__3f3c25e1bab3fd32,completed,failed_permission,pending_posthoc,True,True,True,,False,b9fc92e596b9de6fec283bde82408695660993bc123f7d1f9e3492523184b2a6
split08__seed4,fed-isic-AK-VASC-model4__0f97e00c6c42f9a0,completed,failed_permission,pending_posthoc,True,True,True,,False,a1adc8bc23ee115c582ef61533dc261411de32083479e04d2d92b1f613f4fd65
split09__seed0,fed-isic-BKL-VASC-model0__2b4abb3a1ff86781,completed,failed_permission,pending_posthoc,True,True,True,,False,ffc55999bf9f2cc05dfe86900bc57b155009575e84775d0208049fe8546e80b8
split09__seed1,fed-isic-BKL-VASC-model1__4f30b5b1e05e42e2,completed,failed_permission,pending_posthoc,True,True,True,,False,4c4a5fc29c47f1e68c36f620ae97dc129fc5b8c06c2df912bca9b4714b423803
split09__seed2,fed-isic-BKL-VASC-model2__ff344915f5dd7f49,completed,failed_permission,pending_posthoc,True,True,True,,False,a62d9349a24cf124c127e3d3a0f80e7c3f2d1039a1af699bf97f209b83e3ebfd
split09__seed3,fed-isic-BKL-VASC-model3__8af48c456b7d77ae,completed,failed_permission,pending_posthoc,True,True,True,,False,d83d36a69f229a29a7065f4887c55b00fa4d6d8cb1d29494c398b3ca1d92dc19
split09__seed4,fed-isic-BKL-VASC-model4__b43f042994d5b1fd,completed,failed_permission,pending_posthoc,True,True,True,,False,ea3f54394bcfdf5669b1eaf7714c01ee122b563b3a078590ccdb14bbbbdf49ec
