semantic_id,alpha,M,ordered_family_sha256
cifar100_proser_fedavg__split00__seed3__d0.5,0.2,12,377fd3409f6bc7ade7a4aac7509d7edacbf42b88d7c6de68bf866d8f9ae0fafd
cifar100_proser_fedavg__split00__seed3__d0.5,0.25,12,d2846162f2aca1a919d985200892436b937b718aef5e1d2144bd72e3839a77eb
cifar100_proser_fedavg__split00__seed3__d0.5,0.3,12,18621dc77b50260bf9632793fc09ee3757795aca34f9e2a26fd9184f55717dcc
cifar100_proser_fedavg__split00__seed3__d5.0,0.05,12,ed573e1a7b6d2dae200ecec5759d5fa740752340965c85ce5d538de7d6c70b2c
cifar100_proser_fedavg__split00__seed3__d5.0,0.1,12,48d16f58ed53d0441c5ade282e4d09860c8097a8b3929a5f85ed1ab76b0114ef
cifar100_proser_fedavg__split00__seed3__d5.0,0.15,12,c7ce0c9485e3768221f22c2b2a9c19171c820cb90b22edce4cf8be0249bf4e21
cifar100_proser_fedavg__split00__seed3__d5.0,0.2,12,46aed3c5b35c9b3cf420c94ad122a542c3a8e0ebfea522d258cd2b1caf67e7a0
cifar100_proser_fedavg__split00__seed3__d5.0,0.25,12,d048bcdfad72466f7d35511acd97db33fe0b19353836c5f09fdb79600ca5854a
cifar100_proser_fedavg__split00__seed3__d5.0,0.3,12,785473be9df12209cf4b43b285d27067f6a261506ab982310888ee4dedc5a93e
cifar100_proser_fedavg__split00__seed4__d0.1,0.05,12,4da37ca02a3fa0e1a917494a3ed63e0fb4481807afe0c0a271c14875765c2269
cifar100_proser_fedavg__split00__seed4__d0.1,0.1,12,70add787aac1a1dd65d54d3c32565b5f58c30294981643ed82f476eb350e993e
cifar100_proser_fedavg__split00__seed4__d0.1,0.15,12,170b03b77d52755412bc114c8834a0dcffcf54aeea0fda48a19d30a6f4f60a19
cifar100_proser_fedavg__split00__seed4__d0.1,0.2,12,5b62d5d5b0b24b07bc455fd6c163bcb96e86bcf2a0a50bea97e6fae1cc7e6edf
cifar100_proser_fedavg__split00__seed4__d0.1,0.25,12,8bf7f67c591d357fb7c5d30ed8953b4be8831872f727d27318dc367e9676edc4
cifar100_proser_fedavg__split00__seed4__d0.1,0.3,12,d02006fc7bc9f6aae0985713b660a22cda3757144b476bde55fa0038bd051414
cifar100_proser_fedavg__split00__seed4__d0.5,0.05,12,037c3ef82c1904fad257b3e3f815b67a293c89ecd81a4b362b5400f1fdf08939
cifar100_proser_fedavg__split00__seed4__d0.5,0.1,12,047191862d9e8b9ce3bc189467d73e9c573c2418ce76dd3007921702dd7a80a2
cifar100_proser_fedavg__split00__seed4__d0.5,0.15,12,cc3daa01cbd98c3ab823351a61ddd70e2f080506bf7f17d060c58321dd87e4d0
cifar100_proser_fedavg__split00__seed4__d0.5,0.2,12,4a317368e09632b59da4a4871728cd9fdecbe976e92085559876b74464e9c14c
cifar100_proser_fedavg__split00__seed4__d0.5,0.25,12,60b7e3f8a400a336844595e1c0a796f8e521e7e70d7a1ebc4b8121cef75f78ae
cifar100_proser_fedavg__split00__seed4__d0.5,0.3,12,d6d3d874bf0b368d956c968b89daab01516c4cdc5213d3f6d42bd30c93a6766a
cifar100_proser_fedavg__split00__seed4__d5.0,0.05,12,28319c3ce4b5d6740b3eb508d9f78afed2aedf5006ba7d7b0d1766d65551dee0
cifar100_proser_fedavg__split00__seed4__d5.0,0.1,12,d5fdff0127fa6cc43fdc048e49d1491263ac7c9f1e49814e220208ccec02a832
cifar100_proser_fedavg__split00__seed4__d5.0,0.15,12,1ddcec4a8b65a0c77d48aa3cfbd4aee1f21cb37a70b7880908df9b3c9c03e06f
cifar100_proser_fedavg__split00__seed4__d5.0,0.2,12,eb39d723d9b0454fcde23247d96036734c19f06549686419ffb6d9d885cf6fe5
cifar100_proser_fedavg__split00__seed4__d5.0,0.25,12,4da78a581d1c957d9e99ad1215e858c163d06f61e91374851eafa5529022e08c
cifar100_proser_fedavg__split00__seed4__d5.0,0.3,12,806c6bb3a618d50763056dfdc95cb5fa894537699a686b30f22ebc5f9a53dbe9
cifar100_proser_fedavg__split01__seed0__d0.1,0.05,12,45de63704dfc5b663d9c144028ffcc17ce75b04727d2a157c4290a985f905fbb
cifar100_proser_fedavg__split01__seed0__d0.1,0.1,12,e8bc35da866c92b99557cd0d99c9b2f348459305a335b0d3c908624eaaa73f00
cifar100_proser_fedavg__split01__seed0__d0.1,0.15,12,4dde3bad3e43a7950d0f326a92de05c30cb8e725f5658dc2ecfbe3fa14f9c3ac
cifar100_proser_fedavg__split01__seed0__d0.1,0.2,12,7a3297733738245788093b4bb0dad22be5d184fcc8fe26fc6f977b3938428c58
cifar100_proser_fedavg__split01__seed0__d0.1,0.25,12,1f7b3fe438c8d5cce8def4d37d90b709bcf7e00cd8041f98d7892cf555cbbeb7
cifar100_proser_fedavg__split01__seed0__d0.1,0.3,12,5f12a7069c238e182a0d311317895f86fcb68a256454efa90b25ba1e74e7c648
cifar100_proser_fedavg__split01__seed0__d0.5,0.05,12,bd11ea209a49dfba7d6965733c17b5036c0382280e254a7827c27d5a476ac73f
cifar100_proser_fedavg__split01__seed0__d0.5,0.1,12,6caacdb1bf73d54bd5cc3bcbbd30b232266977d9bb16596c50b4cd7a64c0102e
cifar100_proser_fedavg__split01__seed0__d0.5,0.15,12,3f38a48b3d2d2bb412b2580bfb3349c5219ac1c11c790d3034dd281717689608
cifar100_proser_fedavg__split01__seed0__d0.5,0.2,12,7ced8d807cc5c6c644a9a797b122f6bf156da8897605467a0e4fcf7d8a8e2f6f
cifar100_proser_fedavg__split01__seed0__d0.5,0.25,12,77a62ec7a7d52e743088ad9f4dc29aab1cd38895359119fb9549040d72efb607
cifar100_proser_fedavg__split01__seed0__d0.5,0.3,12,d06b02cb63ff65aa373441133f5aa6b2d0655960766905000882acdaecb05b34
cifar100_proser_fedavg__split01__seed0__d5.0,0.05,12,4fef7c9bcb0f96755c4516f6028cd8071379230096d4025be4e661cb565ac429
cifar100_proser_fedavg__split01__seed0__d5.0,0.1,12,edf2ff95fec610c70f91f9e3415a6d5680413458043106f2d114d272ca28930b
cifar100_proser_fedavg__split01__seed0__d5.0,0.15,12,a7ee5a0ca7a5d62e1e925ff6f5cba33e6b55e146b44634c958d4db4e9e01653d
cifar100_proser_fedavg__split01__seed0__d5.0,0.2,12,b9e621c023e0deb091874fff906c552c60641fb593db2ec5385d48ca34951920
cifar100_proser_fedavg__split01__seed0__d5.0,0.25,12,7160e37a8669699e95e3593fdba828a8c92bc3dd5e9db52eaa8d5f50627a6edc
cifar100_proser_fedavg__split01__seed0__d5.0,0.3,12,bdd4cabca488cdf2abe3b9cf57d2f720b993f21fd9dac84b6884449783e43fca
cifar100_proser_fedavg__split01__seed1__d0.1,0.05,12,53d231cf1aaf861f553457bd5e9c237324c16dc52d7fae3f92351209cdd68717
cifar100_proser_fedavg__split01__seed1__d0.1,0.1,12,c62f72eec3b7f37642c9309e915715332df812179e2cb07c85e9e681cf2a592c
cifar100_proser_fedavg__split01__seed1__d0.1,0.15,12,b6e6a4e4f2b0b1dbb33c5e32bc5e270da9811b93bfc8f556f54cc56f30ab7415
cifar100_proser_fedavg__split01__seed1__d0.1,0.2,12,7976c974bd1e9da2deeb0627dcde112df20d575cf17a72a5e739afbf5f00a037
cifar100_proser_fedavg__split01__seed1__d0.1,0.25,12,1c020c2546acddca167abdb0a3882e5cdde90d1d5eb4d8d5dedd5f9b1fb2c098
cifar100_proser_fedavg__split01__seed1__d0.1,0.3,12,8b5a148b4b6bee0ab8cd87d864653f943e58f5adb4dd4d2f66108da74c646245
cifar100_proser_fedavg__split01__seed1__d0.5,0.05,12,3ff0c87bae8f58f6e586cee13becc537e170a0c495695ae951ee92e1172ff2eb
cifar100_proser_fedavg__split01__seed1__d0.5,0.1,12,dbc6a8452e1d5413343f8566cef848d8c922d8feabfba6a1019e19b1e9244d6b
cifar100_proser_fedavg__split01__seed1__d0.5,0.15,12,ca25ef3f9feb6c1fc3514e3d832bcb427a52b89bd939613e38b7612e5b0b93df
cifar100_proser_fedavg__split01__seed1__d0.5,0.2,12,e371623c44456b8edb0604156af70d960cfdd77e0e57ecc533a261318a08ffbb
cifar100_proser_fedavg__split01__seed1__d0.5,0.25,12,d742ec62f07197256e98b334a1632f17d0415f47bf5600a9faf0ca5d5f5f41cf
cifar100_proser_fedavg__split01__seed1__d0.5,0.3,12,07e23d2ad3ea2b107e6396e385340603042b03c735fee570e0a739e6b7243957
cifar100_proser_fedavg__split01__seed1__d5.0,0.05,12,481f5cd5e68ef0dc407f9b5666f49ac86a5c4f2f09d4a24e502c7ccb25292b00
cifar100_proser_fedavg__split01__seed1__d5.0,0.1,12,2e8461310a5532ce91cf2c9d4e7ab4651c238aee27a30238e398b81076fb001d
cifar100_proser_fedavg__split01__seed1__d5.0,0.15,12,de79a7ba6c86d23661073c29bb532309d5eafcda93c528071e507f324590662f
cifar100_proser_fedavg__split01__seed1__d5.0,0.2,12,a49262340a95c010b0da9179f7a6e19ce4547ec15cf0928fd3cea8c205deed55
cifar100_proser_fedavg__split01__seed1__d5.0,0.25,12,ab78cc547a0cd1339797a3fa85b65471a4a1284bf5e1b06bac85c5a67e9b2bf9
cifar100_proser_fedavg__split01__seed1__d5.0,0.3,12,9f6df99da857de0368017f8c209cb12c2a99b5f2415332d2cb9d8f13b1e08a64
cifar100_proser_fedavg__split01__seed2__d0.1,0.05,12,249c0cbc035055f5cf541f5418b4895c9be4437000ad5280a1b35d3afceca017
cifar100_proser_fedavg__split01__seed2__d0.1,0.1,12,4d99921fca18e4d4a8e98897a619e5434c0cb9fd1309b9f9fc2c9a59a60c3271
cifar100_proser_fedavg__split01__seed2__d0.1,0.15,12,069a695ff819b92c236869968010bad2e0e814dd6dca03c312d49175265aab9b
cifar100_proser_fedavg__split01__seed2__d0.1,0.2,12,19a85db2d4cb02b4b7ed3934669f801c95f0edd0a0544be0ac8fced42b359ae1
cifar100_proser_fedavg__split01__seed2__d0.1,0.25,12,0bd71c612e943d3c00b10fd54ad96c4832680ec1ac083492bb026e8d9244999d
cifar100_proser_fedavg__split01__seed2__d0.1,0.3,12,69933f934951fd4c6bb445a8305cafef1abc2455df8c6107ba4905697d888303
cifar100_proser_fedavg__split01__seed2__d0.5,0.05,12,9059fe5d183cbb3529428f80da4a3943239bc1f6c31928f5ccd3ea3acd179ac7
cifar100_proser_fedavg__split01__seed2__d0.5,0.1,12,b068ade54f4d4f491b8de2661f280ce45460607fd09153304c7f89a367bde2d7
cifar100_proser_fedavg__split01__seed2__d0.5,0.15,12,ccf155b39782fff3ea4a99361f6b1aaa2224111c0ef1ac4375eb6394aad1d5a4
cifar100_proser_fedavg__split01__seed2__d0.5,0.2,12,51ec352f06755c89184ef932543dd88c11188f7449cfb97e3e6c5a7a0c762186
cifar100_proser_fedavg__split01__seed2__d0.5,0.25,12,8e4ce5a2493dbd1d1977473d29cbd3d7349915039eecf1c713b5356a7e1448cd
cifar100_proser_fedavg__split01__seed2__d0.5,0.3,12,ddb37b8b0df6d65c949b02666adbc7c387b03d089e04c1da507c07815c1f7732
cifar100_proser_fedavg__split01__seed2__d5.0,0.05,12,3c31c0499b26519d356bc32f5e0768da5497f007f2af0c65acf625aa29b4e31d
cifar100_proser_fedavg__split01__seed2__d5.0,0.1,12,51dda863b1a20acaad25d440f9f67fcf83ff44003ed6f53511edb1624bac13d2
cifar100_proser_fedavg__split01__seed2__d5.0,0.15,12,079c091a0a94d94911e30ea477b44de5fb3a493e3fa256960ce5fe77f389ea1c
cifar100_proser_fedavg__split01__seed2__d5.0,0.2,12,d6c665b2e069611e4f29f4f139ad6bdf2e8a6eebd409df08edd0aeb5a93cf37d
cifar100_proser_fedavg__split01__seed2__d5.0,0.25,12,d107339ceda81e13b402723bb4d49f0185f2015e7682cd50333b28d611bbc442
cifar100_proser_fedavg__split01__seed2__d5.0,0.3,12,70de5a54996a27624d5db04cb6860b0077fa4e5de1a75a02b5299f9e775ee73a
cifar100_proser_fedavg__split01__seed3__d0.1,0.05,12,f3160a059e1b859815208754fc1f8d0871b395e0c8d8d222f8a7ccf9c62516ae
cifar100_proser_fedavg__split01__seed3__d0.1,0.1,12,fd0f5496db1dc672b5bee3cc5fa4ae0569ae816ca2e8b70c7d45b99516659728
cifar100_proser_fedavg__split01__seed3__d0.1,0.15,12,f64cbdc14098a76b230644afe300ba632dbc2e9a5b6dc184d9f77341161f69ac
cifar100_proser_fedavg__split01__seed3__d0.1,0.2,12,e66f2d39834ce2ca28a5eb0d27abaf478863d5b8cea019e0340f84fda5ab4898
cifar100_proser_fedavg__split01__seed3__d0.1,0.25,12,7ae2b358ea243de263c20b288a6d6381f60b827e99031430b6f9dc927098fd9c
cifar100_proser_fedavg__split01__seed3__d0.1,0.3,12,339d947aa1afebe6d20522342848a1d45c37af6a64fe33090873f44ecd231bd8
cifar100_proser_fedavg__split01__seed3__d0.5,0.05,12,b5cfab54db2594288a2ad05e65426c19b7b97bf0910ded5fbbd24725fd035320
cifar100_proser_fedavg__split01__seed3__d0.5,0.1,12,f412d69b0e693a7491252fbeb968ed11c197a77523a1e9e59a83f26f270711c5
cifar100_proser_fedavg__split01__seed3__d0.5,0.15,12,80ccf70dfdb6a25b6460bd29d93d0316815e2743e54a8e80a89db113fdca6578
cifar100_proser_fedavg__split01__seed3__d0.5,0.2,12,b87ce5b5c80ecb96289cadb3def6c232b88672ffc0bcb336bb5ff4a685559546
cifar100_proser_fedavg__split01__seed3__d0.5,0.25,12,c9d00a82d5f9c9987636adcb2231e34947afb8797335c361313bea0ce646a183
cifar100_proser_fedavg__split01__seed3__d0.5,0.3,12,396c152d3846554ecf39ea038f18badebcad301153130effbab815bd2175078e
cifar100_proser_fedavg__split01__seed3__d5.0,0.05,12,ecca6a93437a8ec585605f5ca0d4ea353956a0a8e6b92d27f440f88b2ef6136c
cifar100_proser_fedavg__split01__seed3__d5.0,0.1,12,421ab2cbeac65afb3b19f4fcac8500a1b9b9c3b694351c3bfe723c8ce83ffcaf
cifar100_proser_fedavg__split01__seed3__d5.0,0.15,12,44c1d8e722fb0dafaae0ebbc14329e6a9fc81987fcbbe6133f5da809bba89d23
cifar100_proser_fedavg__split01__seed3__d5.0,0.2,12,d497e3aca284aeba8693217873fb0c9bf52496967ba05920db96e24ba1df89b6
cifar100_proser_fedavg__split01__seed3__d5.0,0.25,12,a7b24134f464a69296d8a91484604d10670a07c48fe7ff5e623f0d4b2f555e33
cifar100_proser_fedavg__split01__seed3__d5.0,0.3,12,572e9cb8ec61899a00f909990cc81071ea53d80db8aed3d3f855015c645cccf7
cifar100_proser_fedavg__split01__seed4__d0.1,0.05,12,a8bff5c95e6baf8321a6ec71fd6e01c5411f2c9909fdb20c41c4b9fbcfca0297
cifar100_proser_fedavg__split01__seed4__d0.1,0.1,12,64f3aab9ed8f9614f09621cd188cc02e9898754d4119e5929e158202d8a0ee89
cifar100_proser_fedavg__split01__seed4__d0.1,0.15,12,c257dd5c257ace62e142dc600ae44a0487e64478e38b8ee3c98f22f3ad41aabd
cifar100_proser_fedavg__split01__seed4__d0.1,0.2,12,fa1ee82566a29f839c61878e24f948b618bc8d745f3f0f3318967c927b419428
cifar100_proser_fedavg__split01__seed4__d0.1,0.25,12,2a14b51ea22f59ac34df0bd52d8843609e11c3db97d3c3407871c02f2d24daae
cifar100_proser_fedavg__split01__seed4__d0.1,0.3,12,5903bd0de32d379ee187cd9ed572ab50883fcd50496c907784d9fec4c4908045
cifar100_proser_fedavg__split01__seed4__d0.5,0.05,12,067e9232497d73c2978232175d5e91b9d170575ea028173305787d07cdaf482b
cifar100_proser_fedavg__split01__seed4__d0.5,0.1,12,0fe5c99f5bda16f45990af4682240c06cd0a08619f906d9db0ca3f621de14b54
cifar100_proser_fedavg__split01__seed4__d0.5,0.15,12,e0329269bae8d71f38b91d38e98417a3039078cde35ba431616beeda046e08cf
cifar100_proser_fedavg__split01__seed4__d0.5,0.2,12,31cb7cd065223f92aa1df01bca6d22e508442696016fac48415c701de66c4a8a
cifar100_proser_fedavg__split01__seed4__d0.5,0.25,12,d8ce804d50aae134453bb1e8446027133404b05bcfd78e142df8b1b670f2a7c0
cifar100_proser_fedavg__split01__seed4__d0.5,0.3,12,5dd6125c7703f189089f7939c2a45db3a8a1214600c8960f1c7df10e5385a730
cifar100_proser_fedavg__split01__seed4__d5.0,0.05,12,1d7af6300ec1ca095d97c509a2373b1c111bec1274f8a0854aa7a6e0f84722cf
cifar100_proser_fedavg__split01__seed4__d5.0,0.1,12,c83992e53e482bb00107708042ffc881708c628c72dcd55986d4bd65c0580e65
cifar100_proser_fedavg__split01__seed4__d5.0,0.15,12,cf7fa89cfc614225b4e4c1fdc748a715fd617c32bc3a871553909104ed8f515d
cifar100_proser_fedavg__split01__seed4__d5.0,0.2,12,1eb8cd908f2e624ea98b681967f5df1a915a0fb7dd293e5425a6b9491f87f64b
cifar100_proser_fedavg__split01__seed4__d5.0,0.25,12,2a0a1d10bba997e6591b1385e2968c1b3328541e83fc38e5d92b83443011b1fe
cifar100_proser_fedavg__split01__seed4__d5.0,0.3,12,39ee913415d3b1142d9e01f6a84e373fad4fa41ab312ba3594c2a92f41f4cdd3
cifar100_proser_fedavg__split02__seed0__d0.1,0.05,12,dfa78b6256c2ff4a6c6477e8574854540fe01e3e19c4ef1da577fca14af6a4b9
cifar100_proser_fedavg__split02__seed0__d0.1,0.1,12,8d62ccafce8631c10c158bad358a852af50da3a822f26cf97594fe5a516948cd
cifar100_proser_fedavg__split02__seed0__d0.1,0.15,12,d8e812d7f431474efae64e33df25ee57a258ba4f2ecd326c6ea7681ba4da5633
cifar100_proser_fedavg__split02__seed0__d0.1,0.2,12,618b5b422252ac58721ab8b6b87f51a3d0415482872d0c8476932c1e2e415ac4
cifar100_proser_fedavg__split02__seed0__d0.1,0.25,12,ff5693ea43e6dfadb47eecf0dfc49bff7f1e0f4cef4e4755c350d0991e01e31e
cifar100_proser_fedavg__split02__seed0__d0.1,0.3,12,b78de639bb588a7e9f9244eb3e4a8c98e37d47c1889079a441e94ff64fb76953
cifar100_proser_fedavg__split02__seed0__d0.5,0.05,12,96d0eba8db59550acd12a962ddb6a9726a2ce6e8d955f3ea21cbde5e2b5733da
cifar100_proser_fedavg__split02__seed0__d0.5,0.1,12,26cc275d212e7b8e8fd3984faf2f7cc4c5e9205c33b970fa12382def26166cef
cifar100_proser_fedavg__split02__seed0__d0.5,0.15,12,9c198c057e1cfadd251e85755aa7b5bbd79e5521c1971f9e3735d935195f491f
