kind,semantic_id,path,bytes,mtime_ns,dataset,condition,d,J
cifar,cifar100_proser_fedavg__split04__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed4__d5.0_common.npz,2074463,1785239068896752851,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split05__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed0__d0.1_common.npz,2065246,1785241911222386898,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split05__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed0__d0.5_common.npz,2073115,1785245621620138084,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split05__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed0__d5.0_common.npz,2073631,1785248589362386833,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split05__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed1__d0.1_common.npz,2056554,1785250323320724038,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split05__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed1__d0.5_common.npz,2072590,1785253050361248487,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split05__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed1__d5.0_common.npz,2071687,1785256982264201766,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split05__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed2__d0.1_common.npz,2062145,1785259642699027114,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split05__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed2__d0.5_common.npz,2074822,1785261570342967591,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split05__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed2__d5.0_common.npz,2075910,1785264178194154138,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split05__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed3__d0.1_common.npz,2063288,1785268331015723705,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split05__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed3__d0.5_common.npz,2069048,1785270688717690628,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split05__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed3__d5.0_common.npz,2071521,1785272807333217440,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split05__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed4__d0.1_common.npz,2059627,1785275304336278726,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split05__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed4__d0.5_common.npz,2072203,1785279657080296790,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split05__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split05__seed4__d5.0_common.npz,2074948,1785281748733791125,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split06__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed0__d0.1_common.npz,2064942,1785284040317049960,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split06__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed0__d0.5_common.npz,2075132,1785286434067380350,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split06__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed0__d5.0_common.npz,2073204,1785291007798049901,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split06__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed1__d0.1_common.npz,2057826,1785292797310527483,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split06__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed1__d0.5_common.npz,2072518,1785295277900302875,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split06__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed1__d5.0_common.npz,2072043,1785297575819080558,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split06__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed2__d0.1_common.npz,2061266,1785302351227709233,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split06__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed2__d0.5_common.npz,2073414,1785303841306473049,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split06__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed2__d5.0_common.npz,2073737,1785306516200095835,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split06__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed3__d0.1_common.npz,2063737,1785308709260627302,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split06__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed3__d0.5_common.npz,2069914,1785313687844026953,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split06__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed3__d5.0_common.npz,2072130,1785314904261119900,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split06__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed4__d0.1_common.npz,2059651,1785317752385788221,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split06__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed4__d0.5_common.npz,2073349,1785319831162719222,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split06__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split06__seed4__d5.0_common.npz,2074898,1785325039355260281,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split07__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed0__d0.1_common.npz,2062124,1785325952233394777,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split07__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed0__d0.5_common.npz,2074752,1785329002477539977,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split07__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed0__d5.0_common.npz,2072788,1785330972723762167,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split07__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed1__d0.1_common.npz,2058497,1785336367042830691,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split07__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed1__d0.5_common.npz,2072047,1785336991192748658,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split07__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed1__d5.0_common.npz,2071494,1785340262247125109,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split07__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed2__d0.1_common.npz,2062579,1785342101502622241,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split07__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed2__d0.5_common.npz,2072162,1785347715830799709,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split07__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed2__d5.0_common.npz,2074578,1785348038677631272,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split07__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed3__d0.1_common.npz,2063771,1785351509575379759,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split07__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed3__d0.5_common.npz,2069874,1785353237402301631,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split07__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed3__d5.0_common.npz,2072841,1785359079429698207,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split07__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed4__d0.1_common.npz,2060149,1785359086529740701,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split07__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed4__d0.5_common.npz,2072764,1785362749799440275,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split07__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split07__seed4__d5.0_common.npz,2075209,1785364377187410803,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split08__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed0__d0.1_common.npz,2062852,1785370415286263942,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split08__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed0__d0.5_common.npz,2072322,1785370135199092797,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split08__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed0__d5.0_common.npz,2073055,1785374001449407069,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split08__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed1__d0.1_common.npz,2059417,1785375517880063458,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split08__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed1__d0.5_common.npz,2072535,1785381180649875246,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split08__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed1__d5.0_common.npz,2072071,1785381751376797338,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split08__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed2__d0.1_common.npz,2060807,1785385248889869840,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split08__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed2__d0.5_common.npz,2074374,1785386658106820919,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split08__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed2__d5.0_common.npz,2076571,1785392230415966600,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split08__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed3__d0.1_common.npz,2063144,1785393099123134016,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split08__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed3__d0.5_common.npz,2069972,1785396496680144531,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split08__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed3__d5.0_common.npz,2073113,1785397809827389845,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split08__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed4__d0.1_common.npz,2062086,1785403278010097314,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split08__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed4__d0.5_common.npz,2072800,1785404441902448177,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split08__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split08__seed4__d5.0_common.npz,2075682,1785407751083933245,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split09__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split09__seed0__d0.1_common.npz,2062886,1785408945464581144,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split09__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split09__seed0__d0.5_common.npz,2071574,1785414327245628635,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split09__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split09__seed0__d5.0_common.npz,2072267,1785415791113977317,cifar100,d5,5.0,5
