semantic_id,dataset,pipeline_id,implementation_label,backbone,input_res,arm,aggregation,lpd,gdca_ot,split_id,train_rep,d,paired_block,reuse_class,seed_class_split,seed_training_initialization,seed_base_data_permutation,seed_augmentation,seed_minibatch_order,seed_client_schedule,seed_Dirichlet_partition,seed_proposal_fold,seed_certification_reservoir,seed_primary_audit_draw,seed_secondary_audit_redraw,seed_traffic_draw,seed_evaluation
cifar10_proser_fedavg__split02__seed4__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,4,0.1,cifar10__split02__seed4,fresh_training,1665270041,342830697,3246212494,2439287175,3761806345,3848603539,2383386867,367114607,4198011863,1951852865,422635924,1042132327,3862097628
cifar10_proser_fedavg__split02__seed4__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,4,0.5,cifar10__split02__seed4,fresh_training,1665270041,342830697,3246212494,2439287175,3761806345,3848603539,2383386867,367114607,4198011863,1951852865,422635924,1042132327,3862097628
cifar10_proser_fedavg__split02__seed4__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,4,5.0,cifar10__split02__seed4,fresh_training,1665270041,342830697,3246212494,2439287175,3761806345,3848603539,2383386867,367114607,4198011863,1951852865,422635924,1042132327,3862097628
cifar10_proser_fedavg__split03__seed0__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,0,0.1,cifar10__split03__seed0,fresh_training,1346131208,1712026865,1380620344,2150435227,3352218521,3017520874,1836202971,3545617662,1843347993,2059207558,2769917490,889384508,3608023570
cifar10_proser_fedavg__split03__seed0__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,0,0.5,cifar10__split03__seed0,fresh_training,1346131208,1712026865,1380620344,2150435227,3352218521,3017520874,1836202971,3545617662,1843347993,2059207558,2769917490,889384508,3608023570
cifar10_proser_fedavg__split03__seed0__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,0,5.0,cifar10__split03__seed0,fresh_training,1346131208,1712026865,1380620344,2150435227,3352218521,3017520874,1836202971,3545617662,1843347993,2059207558,2769917490,889384508,3608023570
cifar10_proser_fedavg__split03__seed1__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,1,0.1,cifar10__split03__seed1,fresh_training,831617313,760776122,3451228357,1425023916,578813979,3405052401,50032215,1887064994,4062698163,2078687017,1412001767,3812063553,2198445219
cifar10_proser_fedavg__split03__seed1__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,1,0.5,cifar10__split03__seed1,fresh_training,831617313,760776122,3451228357,1425023916,578813979,3405052401,50032215,1887064994,4062698163,2078687017,1412001767,3812063553,2198445219
cifar10_proser_fedavg__split03__seed1__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,1,5.0,cifar10__split03__seed1,fresh_training,831617313,760776122,3451228357,1425023916,578813979,3405052401,50032215,1887064994,4062698163,2078687017,1412001767,3812063553,2198445219
cifar10_proser_fedavg__split03__seed2__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,2,0.1,cifar10__split03__seed2,fresh_training,3737171978,3315006129,2345690057,3406092749,142072280,2875773129,1306536565,1674706357,2973531470,3252553165,1239389548,3396698993,1172296143
cifar10_proser_fedavg__split03__seed2__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,2,0.5,cifar10__split03__seed2,fresh_training,3737171978,3315006129,2345690057,3406092749,142072280,2875773129,1306536565,1674706357,2973531470,3252553165,1239389548,3396698993,1172296143
cifar10_proser_fedavg__split03__seed2__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,2,5.0,cifar10__split03__seed2,fresh_training,3737171978,3315006129,2345690057,3406092749,142072280,2875773129,1306536565,1674706357,2973531470,3252553165,1239389548,3396698993,1172296143
cifar10_proser_fedavg__split03__seed3__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,3,0.1,cifar10__split03__seed3,fresh_training,2968420369,578152868,1311983090,2448104508,3234527324,3233571823,2461558466,2297042165,2799522379,2784462196,2680807267,2199434948,745835662
cifar10_proser_fedavg__split03__seed3__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,3,0.5,cifar10__split03__seed3,fresh_training,2968420369,578152868,1311983090,2448104508,3234527324,3233571823,2461558466,2297042165,2799522379,2784462196,2680807267,2199434948,745835662
cifar10_proser_fedavg__split03__seed3__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,3,5.0,cifar10__split03__seed3,fresh_training,2968420369,578152868,1311983090,2448104508,3234527324,3233571823,2461558466,2297042165,2799522379,2784462196,2680807267,2199434948,745835662
cifar10_proser_fedavg__split03__seed4__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,4,0.1,cifar10__split03__seed4,fresh_training,2783136329,3814111656,3354297552,1855459085,2952873299,3699451756,2874445194,3790173150,3123726700,2745648300,2586922260,2306198260,1312696410
cifar10_proser_fedavg__split03__seed4__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,4,0.5,cifar10__split03__seed4,fresh_training,2783136329,3814111656,3354297552,1855459085,2952873299,3699451756,2874445194,3790173150,3123726700,2745648300,2586922260,2306198260,1312696410
cifar10_proser_fedavg__split03__seed4__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_03,4,5.0,cifar10__split03__seed4,fresh_training,2783136329,3814111656,3354297552,1855459085,2952873299,3699451756,2874445194,3790173150,3123726700,2745648300,2586922260,2306198260,1312696410
cifar10_proser_fedavg__split04__seed0__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,0,0.1,cifar10__split04__seed0,fresh_training,284407590,591785450,1397699975,2858610454,285294553,2889999683,2260832141,2041539163,272812121,3253060520,3626012462,1305270549,4264422988
cifar10_proser_fedavg__split04__seed0__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,0,0.5,cifar10__split04__seed0,fresh_training,284407590,591785450,1397699975,2858610454,285294553,2889999683,2260832141,2041539163,272812121,3253060520,3626012462,1305270549,4264422988
cifar10_proser_fedavg__split04__seed0__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,0,5.0,cifar10__split04__seed0,fresh_training,284407590,591785450,1397699975,2858610454,285294553,2889999683,2260832141,2041539163,272812121,3253060520,3626012462,1305270549,4264422988
cifar10_proser_fedavg__split04__seed1__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,1,0.1,cifar10__split04__seed1,fresh_training,1027560094,1301355522,755133840,2343923465,3522780453,921640853,2540387208,488005500,980939469,1426030260,3996983411,167814245,686711400
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,1,0.5,cifar10__split04__seed1,fresh_training,1027560094,1301355522,755133840,2343923465,3522780453,921640853,2540387208,488005500,980939469,1426030260,3996983411,167814245,686711400
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,1,5.0,cifar10__split04__seed1,fresh_training,1027560094,1301355522,755133840,2343923465,3522780453,921640853,2540387208,488005500,980939469,1426030260,3996983411,167814245,686711400
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,2,0.1,cifar10__split04__seed2,fresh_training,3693890018,1185183827,1053546113,4008313511,389439548,2993971114,2790287182,3775420922,781830005,2938545752,1159374571,697274416,4192418774
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,2,0.5,cifar10__split04__seed2,fresh_training,3693890018,1185183827,1053546113,4008313511,389439548,2993971114,2790287182,3775420922,781830005,2938545752,1159374571,697274416,4192418774
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,2,5.0,cifar10__split04__seed2,fresh_training,3693890018,1185183827,1053546113,4008313511,389439548,2993971114,2790287182,3775420922,781830005,2938545752,1159374571,697274416,4192418774
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,3,0.1,cifar10__split04__seed3,fresh_training,1811896368,1818610448,2552558243,2321425737,1326547974,1884356243,1178508363,2672784073,127747693,716624903,2429653642,2492031004,1435617818
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_04,3,0.5,cifar10__split04__seed3,fresh_training,1811896368,1818610448,2552558243,2321425737,1326547974,1884356243,1178508363,2672784073,127747693,716624903,2429653642,2492031004,1435617818
