semantic_id,dataset,condition,split,repetition,frozen_primary_audit_seed,seed_source,embedded_artifact_audit_seed,rng_contract
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,1,2,3807314033,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,1,2,3807314033,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,1,2,3807314033,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,1,3,2390744139,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,1,3,2390744139,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,1,3,2390744139,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,1,4,552393899,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,1,4,552393899,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,1,4,552393899,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,2,0,4279138739,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,2,0,4279138739,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,d5,2,0,4279138739,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,d0.1,2,1,2001683801,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,d0.5,2,1,2001683801,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,d5,2,1,2001683801,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,d0.1,2,2,1973055081,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,d0.5,2,2,1973055081,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,d5,2,2,1973055081,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,d0.1,2,3,2122878319,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,d0.5,2,3,2122878319,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,d5,2,3,2122878319,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,d0.1,2,4,2339451339,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,d0.5,2,4,2339451339,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,d5,2,4,2339451339,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,d0.1,3,0,3363560519,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,d0.5,3,0,3363560519,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,d5,3,0,3363560519,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,d0.1,3,1,1092593206,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,d0.5,3,1,1092593206,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,d5,3,1,1092593206,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,d0.1,3,2,3132133901,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,d0.5,3,2,3132133901,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed2__d5.0,cifar100,d5,3,2,3132133901,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed3__d0.1,cifar100,d0.1,3,3,2143201999,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed3__d0.5,cifar100,d0.5,3,3,2143201999,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed3__d5.0,cifar100,d5,3,3,2143201999,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed4__d0.1,cifar100,d0.1,3,4,743386867,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed4__d0.5,cifar100,d0.5,3,4,743386867,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split03__seed4__d5.0,cifar100,d5,3,4,743386867,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed0__d0.1,cifar100,d0.1,4,0,1684228010,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed0__d0.5,cifar100,d0.5,4,0,1684228010,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed0__d5.0,cifar100,d5,4,0,1684228010,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed1__d0.1,cifar100,d0.1,4,1,1758493121,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed1__d0.5,cifar100,d0.5,4,1,1758493121,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed1__d5.0,cifar100,d5,4,1,1758493121,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed2__d0.1,cifar100,d0.1,4,2,3182148312,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed2__d0.5,cifar100,d0.5,4,2,3182148312,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed2__d5.0,cifar100,d5,4,2,3182148312,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed3__d0.1,cifar100,d0.1,4,3,606111360,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed3__d0.5,cifar100,d0.5,4,3,606111360,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed3__d5.0,cifar100,d5,4,3,606111360,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed4__d0.1,cifar100,d0.1,4,4,1373967355,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed4__d0.5,cifar100,d0.5,4,4,1373967355,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split04__seed4__d5.0,cifar100,d5,4,4,1373967355,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed0__d0.1,cifar100,d0.1,5,0,3010074051,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed0__d0.5,cifar100,d0.5,5,0,3010074051,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed0__d5.0,cifar100,d5,5,0,3010074051,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed1__d0.1,cifar100,d0.1,5,1,3380967870,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed1__d0.5,cifar100,d0.5,5,1,3380967870,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed1__d5.0,cifar100,d5,5,1,3380967870,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed2__d0.1,cifar100,d0.1,5,2,3202682141,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed2__d0.5,cifar100,d0.5,5,2,3202682141,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed2__d5.0,cifar100,d5,5,2,3202682141,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed3__d0.1,cifar100,d0.1,5,3,1588659328,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed3__d0.5,cifar100,d0.5,5,3,1588659328,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed3__d5.0,cifar100,d5,5,3,1588659328,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed4__d0.1,cifar100,d0.1,5,4,2774646293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed4__d0.5,cifar100,d0.5,5,4,2774646293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split05__seed4__d5.0,cifar100,d5,5,4,2774646293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed0__d0.1,cifar100,d0.1,6,0,3123724890,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed0__d0.5,cifar100,d0.5,6,0,3123724890,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed0__d5.0,cifar100,d5,6,0,3123724890,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed1__d0.1,cifar100,d0.1,6,1,3443829340,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed1__d0.5,cifar100,d0.5,6,1,3443829340,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed1__d5.0,cifar100,d5,6,1,3443829340,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed2__d0.1,cifar100,d0.1,6,2,2037060718,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed2__d0.5,cifar100,d0.5,6,2,2037060718,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed2__d5.0,cifar100,d5,6,2,2037060718,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed3__d0.1,cifar100,d0.1,6,3,4188717662,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed3__d0.5,cifar100,d0.5,6,3,4188717662,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed3__d5.0,cifar100,d5,6,3,4188717662,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed4__d0.1,cifar100,d0.1,6,4,650748753,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed4__d0.5,cifar100,d0.5,6,4,650748753,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split06__seed4__d5.0,cifar100,d5,6,4,650748753,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed0__d0.1,cifar100,d0.1,7,0,731456049,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed0__d0.5,cifar100,d0.5,7,0,731456049,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed0__d5.0,cifar100,d5,7,0,731456049,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed1__d0.1,cifar100,d0.1,7,1,3892470507,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed1__d0.5,cifar100,d0.5,7,1,3892470507,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed1__d5.0,cifar100,d5,7,1,3892470507,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed2__d0.1,cifar100,d0.1,7,2,2275934588,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed2__d0.5,cifar100,d0.5,7,2,2275934588,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed2__d5.0,cifar100,d5,7,2,2275934588,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed3__d0.1,cifar100,d0.1,7,3,843740302,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed3__d0.5,cifar100,d0.5,7,3,843740302,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed3__d5.0,cifar100,d5,7,3,843740302,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed4__d0.1,cifar100,d0.1,7,4,1912494194,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed4__d0.5,cifar100,d0.5,7,4,1912494194,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split07__seed4__d5.0,cifar100,d5,7,4,1912494194,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed0__d0.1,cifar100,d0.1,8,0,3265923293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed0__d0.5,cifar100,d0.5,8,0,3265923293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed0__d5.0,cifar100,d5,8,0,3265923293,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed1__d0.1,cifar100,d0.1,8,1,2533880317,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed1__d0.5,cifar100,d0.5,8,1,2533880317,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed1__d5.0,cifar100,d5,8,1,2533880317,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed2__d0.1,cifar100,d0.1,8,2,341861708,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split08__seed2__d0.5,cifar100,d0.5,8,2,341861708,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
